Skill,mapping
English skills,English skills
Enova365,Enova365
Enterprise Architect,Enterprise Architect
Entity Framework,Entity Framework
Entity Framework 6.1,Entity Framework 6.1
Ethereum,Ethereum
Experience in support,Experience in support
Exploratory testing,Exploratory testing
Express.js,Express.js
FPGA,FPGA
Figma / Sketch,Figma / Sketch
Flask,Flask
Flutter,Flutter
Front-End,Front-End
Functional Programming,Functional Programming
Functional Testing,Functional Testing
GCP,GCP
GCP/AWS,GCP/AWS
GIT/Bitbucket,GIT/Bitbucket
GKE,GKE
GNU,GNU
GNU Linux / Bash,GNU Linux / Bash
GNU Utils,GNU Utils
GUI,GUI
GXP,GXP
Game Design,Game Design
Gerrit,Gerrit
Gherkin,Gherkin
Git,Git
"Git Jenkins, Docker,","Git Jenkins, Docker,"
GitHub,GitHub
GitLab,GitLab
Gitlab CI,Gitlab CI
Go,Go
Golang,Golang
Google Analytics,Google Analytics
Google Cloud,Google Cloud
Google Cloud Platform,Google Cloud Platform
Google Optimize,Google Optimize
Google Tag,Google Tag
Google Tag Manager,Google Tag Manager
Gradle,Gradle
GraphQL,GraphQL
Graphl,Graphl
Groovy,Groovy
HAProxy,HAProxy
HLASM,HLASM
HP QTP,HP QTP
HP UFT,HP UFT
HTML,HTML
HTML / CSS,HTML / CSS
HTML 5,HTML 5
HTML&CSS,HTML&CSS
HTML/CSS,HTML/CSS
HTML5,HTML5
HTML5 / CSS3,HTML5 / CSS3
HTML5/CSS3,HTML5/CSS3
HTTP,HTTP
HTTP protocol,HTTP protocol
Hadoop,Hadoop
Helpdesk,Helpdesk
Heroku,Heroku
Hibernate,Hibernate
Hibernate 5,Hibernate 5
Hive,Hive
HotJar,HotJar
HubSpot,HubSpot
I 4.0,I 4.0
IBML,IBML
ICT,ICT
IDE,IDE
IDS,IDS
IIS,IIS
IP networks,IP networks
ISE,ISE
ISTQB,ISTQB
ISTQB Foundation,ISTQB Foundation
IT,IT
IT Security,IT Security
IT Support,IT Support
IT Technician,IT Technician
IT asset management and CMDB,IT asset management and CMDB
IT hardware troubleshooting,IT hardware troubleshooting
ITIL,ITIL
ITIL framework,ITIL framework
ITSM,ITSM
Illustrator,Illustrator
Image Processing,Image Processing
InVision,InVision
Incident management,Incident management
Informatica Powercenter,Informatica Powercenter
Ingress,Ingress
IntelliJ,IntelliJ
IoT,IoT
Ionic,Ionic
J2EE,J2EE
JAVA SCRIPT,JAVA SCRIPT
JBoss,JBoss
JEE,JEE
JIRA,JIRA
JMeter,JMeter
JPA,JPA
JPA / Hibernate,JPA / Hibernate
JS,JS
JS ES6,JS ES6
JS/jQuery,JS/jQuery
JSON,JSON
JUnit,JUnit
JVM,JVM
Jakarta EE,Jakarta EE
Java,Java
Java (JDK 1.8/1.7),Java (JDK 1.8/1.7)
Java (frontend),Java (frontend)
Java 10,Java 10
Java 11,Java 11
Java 8,Java 8
Java 8+,Java 8+
Java 8/11,Java 8/11
Java EE,Java EE
Java EE 6+/ Spring,Java EE 6+/ Spring
Java SE,Java SE
Java SE/EE,Java SE/EE
Java Script (ES6),Java Script (ES6)
Java Swing,Java Swing
Java or Groovy,Java or Groovy
Java/Kotlin,Java/Kotlin
Java11,Java11
JavaScript,JavaScript
JavaScript (ES6+),JavaScript (ES6+)
JavaScript (OOP/ES6),JavaScript (OOP/ES6)
JavaScript (jQuery),JavaScript (jQuery)
JavaScript / TypeScript,JavaScript / TypeScript
JavaScript/ ECMAScript,JavaScript/ ECMAScript
JavaScript/React,JavaScript/React
Jenkins,Jenkins
Jenkins/CI,Jenkins/CI
Jira / Git,Jira / Git
Kafka,Kafka
Kanban,Kanban
Keras,Keras
Kotlin,Kotlin
Kubernetes,Kubernetes
Laravel,Laravel
Laravel 5-7,Laravel 5-7
Leadership,Leadership
Linear Algebra,Linear Algebra
Linq,Linq
Linux,Linux
Linux / Unix,Linux / Unix
Linux Administration,Linux Administration
Linux Kernel,Linux Kernel
Linux RedHat,Linux RedHat
Linux Shell,Linux Shell
Linux networking,Linux networking
Lumen 5,Lumen 5
MDS,MDS
ML libraries,ML libraries
MS Azure,MS Azure
MS Excel,MS Excel
MS Exchange,MS Exchange
MS Office,MS Office
MS SQL,MS SQL
MS SQL Server,MS SQL Server
MS Visio,MS Visio
MS Windows Server,MS Windows Server
MVC,MVC
MVC frameworks,MVC frameworks
MVVM,MVVM
Machine Learning,Machine Learning
Magento,Magento
Magento 2,Magento 2
MagicDraw,MagicDraw
Makietowanie,Makietowanie
Management,Management
Manual Testing,Manual Testing
Marketing,Marketing
Matlab,Matlab
Maven,Maven
Mcafee,Mcafee
Memory management,Memory management
Microservice Architecture,Microservice Architecture
Microservices,Microservices
Microsoft ASP.NET,Microsoft ASP.NET
Microsoft Azure,Microsoft Azure
Microsoft Azure Cloud,Microsoft Azure Cloud
Microsoft Dynamics AX 2012,Microsoft Dynamics AX 2012
Microsoft Endpoint Configuration Manager (MEMCM),Microsoft Endpoint Configuration Manager (MEMCM)
Microsoft Exchange,Microsoft Exchange
Microsoft IIS,Microsoft IIS
Microsoft Office,Microsoft Office
Microsoft Report Builder,Microsoft Report Builder
Microsoft SQL,Microsoft SQL
Microsoft Visual Studio,Microsoft Visual Studio
Microsoft Windows,Microsoft Windows
Microsoft Windows Server,Microsoft Windows Server
Migrations,Migrations
Mobile,Mobile
Mobile App Testing,Mobile App Testing
Mobile Apps,Mobile Apps
Mobile Development,Mobile Development
Mockito,Mockito
MongoDB,MongoDB
Monitoring Tools,Monitoring Tools
Monitoring systems,Monitoring systems
MsSQL,MsSQL
MySQL,MySQL
MySQL / NoSQL,MySQL / NoSQL
MySQL / PostgreSQL,MySQL / PostgreSQL
Network,Network
Network Protocols,Network Protocols
Network Security,Network Security
Networking,Networking
Networks,Networks
Nginx,Nginx
Niemiecki,Niemiecki
NoSQL,NoSQL
Node.js,Node.js
Node.js Express,Node.js Express
NumPy,NumPy
Nutanix/VMware,Nutanix/VMware
OEM,OEM
OO,OO
OOP,OOP
ORM,ORM
OS,OS
OWASP,OWASP
Objective-C,Objective-C
Objective-C / Swift,Objective-C / Swift
Office 365,Office 365
Open source,Open source
OpenCV,OpenCV
OpenShift,OpenShift
Oracle,Oracle
Oracle DB,Oracle DB
Oracle Forms,Oracle Forms
Oracle PL/SQL,Oracle PL/SQL
Oracle SQL,Oracle SQL
Order Management,Order Management
Outlook,Outlook
PC,PC
PHP,PHP
PHP 5,PHP 5
PHP 5/7,PHP 5/7
PHP 7,PHP 7
PHP 7.4,PHP 7.4
PHP 7.x,PHP 7.x
PHP/Symfony,PHP/Symfony
PHP7,PHP7
PL SQL,PL SQL
PL/SQL,PL/SQL
PM,PM
PRINCE2,PRINCE2
PY,PY
Packaging tools,Packaging tools
Pandas,Pandas
Pentaho,Pentaho
People Management,People Management
Performence monitoring,Performence monitoring
Perl,Perl
Pharma Industry exp.,Pharma Industry exp.
Phoenix,Phoenix
