Skill:mapping
.NET C#:.NET
.NET Core:.NET
.NET Core (5 stars):.NET
.NET Framework 4.5.1:.NET
.NET MVC:.NET
.NET:.NET
.Net:.NET
.Net Framework:.NET
3D level Design:Design
3Dmatch:Design
3GPP:3GPP
5G:Network
AAA Services:AAA Services
AI:AI
AISEC:AISEC
AMS:AMS
API:REST API
API REST/SOAP:REST API
API rest:REST API
ARM:ARM
ASP .NET Web API:ASP .NET
ASP.:ASP .NET
ASP.NET:ASP .NET
ASP.NET Core:ASP .NET
ASP.NET Core MVC:ASP .NET
ASP.NET MVC:ASP .NET
ASP.NET MVC 5.:ASP .NET
ASP.NET Web API:ASP .NET
ASP.NET.MVC 4/5.2:ASP .NET
AWS:AWS
AWS / GoogleCloud / Azure:AWS / GoogleCloud / Azure
AWS Azure:AWS Azure
AWS/Azure/Google Cloud:AWS / GoogleCloud / Azure
AWS/GCP:AWS/GCP
Access:Access
Active Directory:Active Directory
Adobe Creative Cloud:Adobe Creative Cloud
Adobe Illustrator:Adobe Illustrator
Adobe Photoshop:Adobe Photoshop
Adobe XD:Adobe XD
Adroid SDK:Android
Advanced Installer:Advanced Installer
Advertising:Advertising
Agile:Agile
Agile / Scrum:Agile
Agile/Scrum:Agile
Akka:Akka
Amazon AWS:AWS
Amazon Web Services:AWS
Amelia Chat:Amelia Chat
Amplitude:Amplitude
Analityczne Myślenie:Analytical Thinking
Analiza Biznesowa:Analytical skills
Analytical Thinking:Analytical Thinking
Analytical skills:Analytical skills
Analytics:Analytical skills
Android:Android
Android Binding:Android
Android SDK:Android
Android Studio:Android
Android/iOS:Android/iOS
Angielski:English
Angular:Angular
Angular / React:Angular
Angular / React / Vue:Angular
Angular 2:Angular
Angular 2+:Angular
Angular 4:Angular
Angular 4+:Angular
Angular 5:Angular
Angular 5+:Angular
Angular 6:Angular
Angular 6+:Angular
Angular 7:Angular
Angular 8:Angular
Angular2+:Angular
AngularJS:Angular
Ansible:Ansible
Ansible / Puppet / Chef:Ansible / Puppet / Chef
Ansible or Salt:Ansible
Ansible/Puppet/Chef/ Salt:Ansible / Puppet / Chef
AnyConnect:AnyConnect
Apache:Apache
Apache Cordova:Apache Cordova
Apache Hadoop:Apache Hadoop
Apache Karaf:Apache Karaf
Apache Spark:Apache Spark
Apex:Apex
Architecture:Software Engineering
Aurelia:Aurelia
Automated Testing:Automated Testing
Automatyzacja:Automation
Autosar:Autosar
Autosys:Autosys
Axure RP:Axure RP
Azure:Azure
Azure Data Lake:Azure Data Lake
Azure Databricks:Azure Databricks
Azure DevOps:Azure DevOps
Azure IoT Hub:Azure IoT Hub
Azure Kubernetes Service:Azure Kubernetes Service
Azure Services:Azure Services
BASH/ZSH:Sh Scripting
BI Publisher:BI Publisher
BPM:BPM
BPMN:BPMN
BSCS:BSCS
Backend:Backend
Bamboo:Bamboo
Bash:Sh Scripting
Bash/Shell:Sh Scripting
Batch:Batch
Bazy Danych:Database
Behat:Behat
Big Data:Big Data
Bitcoin:Bitcoin
Blockchain:Blockchain
Boost:Boost
Build/CI software:Build/CI
Business Analysis:Analytical skills
Business Intelligence:Business Intelligence
C:C++
C / C++:C++
C#:.NET
C# / .NET:.NET
C++:C++
C++ 14:C++
C++11:C++
C/C++:C++
CAD:CAD
CCNA Cerificate:CCNA Cerificate
CCNP:CCNP
CD:CD
CI:CI
CI / CD:CI/CD
CI/CD:CI/CD
CIFS:CIFS
CQRS:CQRS
CRM:CRM
CSM:CSM
CSS:CSS
CSS / HTML:CSS
CSS / SASS:CSS
CSS preprocessors:CSS
CSS/SCSS:CSS
CSS3:CSS
CSV:CSV
Camunda BPM:Camunda BPM
Ceph:Ceph
Chatboty:Chatbots
Chef:Chef
Chef / Ansible / Puppet:Ansible / Puppet / Chef
Cisco:Cisco
Cisco):Cisco
Citrix:Citrix
Citrix Storefront:Citrix Storefront
Civil Engineering:Civil Engineering
Clean Code:Clean Code
Clean Coding:Clean Code
Cloud:Cloud
Cloud Computing:Cloud Computing
Cloudera:Cloudera
Cobol:Cobol
Cocoa Touch:Cocoa Touch
CocoaPods:CocoaPods
Code Review:Code Review
CodedUI:CodedUI
Communication:Communication Skills
Communication Skills:Communication Skills
Commvault:Commvault
Composer:Composer
Computer science:Computer science
Confluence:Confluence
Containers:Containers
Continuous Delivery:CD
Continuous Integration:CI
Control-M:Control-M
Cordova:Cordova
Credit Risk:Credit Risk
Cucumber:Cucumber
Cura:Cura
Customer Support:Customer Support
Cybersecurity:Cybersecurity
Cylance:Cylance
DB/SQL:SQL
DDD:DDD
DELL EMC:DELL EMC
DI:DI
DPDK:DPDK
DRF:DRF
DSP:DSP
DWH:DWH
Dagger 2:Dagger2
Dagger2:Dagger2
Dart:Dart
Data Integration:Data Integration
Data Science:Data Science
Data Warehouse:Data Warehouse
Data modeling:Data modeling
DataStage:DataStage
Databases:Database
Dell Boomi:Dell Boomi
Dell Direct Attached:Dell Direct Attached
Design Patterns:Design Patterns
DevOps:DevOps
DevOps tools:DevOps
Distributed systems:Distributed systems
Django:Django
Django Rest Framework:Django
Docker:Docker
Docker / Kubernetes / Swarm:Docker/Kubernates
Docker/Kubernates:Docker/Kubernates
Doctrine:Doctrine
Dokumentacja:Documentation
Doors:Doors
Drupal:Drupal
Drupal 7 lub Drupal 8:Drupal
Drupal/Symfony:Drupal/Symfony
E-commerce:E-commerce
EA:EA
EA; StarUML:EA
ECMAScript:JavaScript
ECMAScript 6:JavaScript
EDI:EDI
EKS:EKS
EKS/AKS:EKS/AKS
ELK Stack:ELK Stack
ERP:ERP
ES6:JavaScript
ES6+:JavaScript
ES6+ Syntax:JavaScript
ES7:JavaScript
ESNext:JavaScript
ETL:ETL
Elasticsearch:Elasticsearch
Electron:Electron
Elixir:Elixir
Embedded:Embedded
Embedded C:Embedded
Embedded Software:Embedded
Embedded Systems:Embedded
English:English
English B2:English
English skills:English
Enova365:Enova365
Enterprise Architect:EA
Entity Framework:Entity Framework
Entity Framework 6.1:Entity Framework
Ethereum:Ethereum
Experience in support:Customer Support
Exploratory testing:Testing
Express.js:Node.js
FPGA:FPGA
Figma / Sketch:Figma / Sketch
Flask:Flask
Flutter:Flutter
Front-End:Front-end
Functional Programming:Functional Programming
Functional Testing:Functional Testing
GCP:GCP
GCP/AWS:AWS/GCP
GIT/Bitbucket:Git
GKE:GKE
GNU:GNU
GNU Linux / Bash:Sh Scripting
GNU Utils:GNU Utils
GUI:GUI
GXP:GXP
Game Design:Games
Gerrit:Gerrit
Gherkin:Gherkin
Git:Git
Git Jenkins, Docker,:Git
GitHub:GitHub
GitLab:GitLab
Gitlab CI:GitLab
Go:Golang
Golang:Golang
Google Analytics:Google Analytics
Google Cloud:GCP
Google Cloud Platform:GCP
Google Optimize:Google Optimize
Google Tag:Google Tag Manager
Google Tag Manager:Google Tag Manager
Gradle:Gradle
GraphQL:GraphQL
Graphl:Graphl
Groovy:Groovy
HAProxy:HAProxy
HLASM:HLASM
HP QTP:HP QTP
HP UFT:HP UFT
HTML:CSS
HTML / CSS:CSS
HTML 5:CSS
HTML&CSS:CSS
HTML/CSS:CSS
HTML5:CSS
HTML5 / CSS3:CSS
HTML5/CSS3:CSS
HTTP:HTTP
HTTP protocol:HTTP
Hadoop:Hadoop
Helpdesk:Customer Support
Heroku:Heroku
Hibernate:Hibernate
Hibernate 5:Hibernate
Hive:Hive
HotJar:HotJar
HubSpot:HubSpot
I 4.0:I 4.0
IBML:IBML
ICT:ICT
IDE:IDE
IDS:IDS
IIS:IIS
IP networks:IP networks
ISE:ISE
ISTQB:ISTQB
ISTQB Foundation:ISTQB
IT:IT
IT Security:IT Security
IT Support:IT Support
IT Technician:IT Support
IT asset management and CMDB:IT asset management and CMDB
IT hardware troubleshooting:IT hardware troubleshooting
ITIL:ITIL
ITIL framework:ITIL
ITSM:ITSM
Illustrator:Adobe Illustrator
Image Processing:Image Processing
InVision:InVision
Incident management:Incident management
Informatica Powercenter:Informatica Powercenter
Ingress:Ingress
IntelliJ:IntelliJ
IoT:Embedded
Ionic:Ionic
J2EE:JEE
JAVA SCRIPT:JavaScript
JBoss:JBoss
JEE:JEE
JIRA:Jira
JMeter:JMeter
JPA:JPA
JPA / Hibernate:Hibernate
JS:JavaScript
JS ES6:JavaScript
JS/jQuery:JavaScript
JSON:JSON
JUnit:JUnit
JVM:JVM
Jakarta EE:Jakarta EE
Java:Java
Java (JDK 1.8/1.7):Java
Java (frontend):Java
Java 10:Java
Java 11:Java
Java 8:Java
Java 8+:Java
Java 8/11:Java
Java EE:JEE
Java EE 6+/ Spring:Spring
Java SE:JEE
Java SE/EE:JEE
Java Script (ES6):JavaScript
Java Swing:Java Swing
Java or Groovy:Java/Groovy
Java/Kotlin:Java/Kotlin
Java11:Java
JavaScript:JavaScript
JavaScript (ES6+):JavaScript
JavaScript (OOP/ES6):JavaScript
JavaScript (jQuery):JavaScript
JavaScript / TypeScript:TypeScript
JavaScript/ ECMAScript:JavaScript
JavaScript/React:React
Jenkins:Jenkins
Jenkins/CI:Jenkins
Jira / Git:Jira
Kafka:Kafka
Kanban:Kanban
Keras:Keras
Kotlin:Kotlin
Kubernetes:Kubernetes
Laravel:Laravel
Laravel 5-7:Laravel
Leadership:Leadership
Linear Algebra:Linear Algebra
Linq:.NET
Linux:Linux
Linux / Unix:Linux
Linux Administration:Linux
Linux Kernel:Linux Kernel
Linux RedHat:Linux RedHat
Linux Shell:Sh Scripting
Linux networking:Linux networking
Lumen 5:Lumen 5
MDS:MDS
ML libraries:Machine Learning
MS Azure:Azure
MS Excel:MS Excel
MS Exchange:MS Exchange
MS Office:MS Office
MS SQL:MS SQL
MS SQL Server:MS SQL
MS Visio:MS Visio
MS Windows Server:MS Windows Server
MVC:MVC
MVC frameworks:MVC
MVVM:MVVM
Machine Learning:Machine Learning
Magento:Magento
Magento 2:Magento
MagicDraw:MagicDraw
Makietowanie:Makietowanie
Management:Management
Manual Testing:Manual Testing
Marketing:Marketing
Matlab:Matlab
Maven:Maven
Mcafee:Mcafee
Memory management:Memory management
Microservice Architecture:Microservices
Microservices:Microservices
Microsoft ASP.NET:ASP .Net
Microsoft Azure:Azure
Microsoft Azure Cloud:Azure
Microsoft Dynamics AX 2012:Microsoft Dynamics AX 2012
Microsoft Endpoint Configuration Manager (MEMCM):Microsoft Endpoint Configuration Manager (MEMCM)
Microsoft Exchange:Microsoft Exchange
Microsoft IIS:IIS
Microsoft Office:MS Office
Microsoft Report Builder:Microsoft Report Builder
Microsoft SQL:MS SQL
Microsoft Visual Studio:Visual Studio
Microsoft Windows:Microsoft Windows
Microsoft Windows Server:Microsoft Windows Server
Migrations:Migrations
Mobile:Mobile
